German,English
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
von,from
ich,I
nicht,Not
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,we
ihr,her
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only 
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,above
da,there
geben,give
vor,before
mein,my
mehr,more
du,you
durch,through
viel,a lot of
wollen,want
machen,make
andere,other
sollen,must
schon,beautiful
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Well
bis,until
sehen,see
einer,one
sehr,very
Mal,Times
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
unter,under
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,Woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,in between
drei,three
liegen,lie
wo,Where
nichts,Nothing
klein,small
Tag,Day
deutsch,German
bleiben,stay
nun,well
sondern,but
heute,today
beide,both
hoch,high
damit,in order to
ohne,without
Mann,Man
welch,what
tun,do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,easy
erst,first
Kind,child
Land,country
stellen,place
zeigen,demonstrate
alt,old
dort,there
Deutschland,Germany
gleich,same
nehmen,take
dürfen,allowed to
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,a house
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,last
fragen,ask
Herr,Mister
halten,keep
glauben,believe
Frage,question
gelten,are valid
gerade,just
folgen,follow
sprechen,speak
führen,to lead
bringen,bring
Welt,World
gar,at all
eigen,own
genau,I agree
mögen,to like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,while
einige,some
dafür,Therefore
kurz,short
stark,strong
brauchen,to need
Hand,hand
etwa,about
weitere,Further
Ende,End
schreiben,write
solch,such
nie,never
Fall,case
schön,Nice
wirklich,really
denen,whom
nennen,to name
warum,why
ziehen,draw
Wort,Word
darauf,thereon
eben,even
Seite,side
Teil,Part
jung,young
vier,four
besser,better
fast,nearly
schnell,quickly
Stadt,city
spielen,to play
zwar,that is
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,to get
meinen,think
davon,from that
kennen,know
dich,you
Mutter,mother
Weg,path
weiter,further
Auge,Eye
oft,often
Leute,people
allerdings,Indeed
sogar,even
jedoch,however
setzen,put
deshalb,for this reason
weit,far
sitzen,sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,company
nächste,next
erklären,to explain
klar,clear
Paar,Few
Recht,Right
wegen,because
dir,to you
Wasser,water
bestehen,exist
versuchen,to attempt
Punkt,Point
Grund,reason
Kopf,head
beginnen,start
laufen,to run
Bild,picture
verschieden,different
Name,Surname
Aufgabe,task
schwer,difficult
entsprechen,correspond to
treffen,meeting
Art,Kind
wohl,probably
Geschichte,story
erzählen,tell
entstehen,develop
sicher,secure
neben,Next
allein,alone
Abbildung,Illustration
hinter,Behind
besonders,especially
tragen,wear
kaum,hardly
Freund,friend
fünf,five
scheinen,seem to be
Stunde,Hour
aussehen,look
gern,gladly
überhaupt,at all
bestimmt,definitely
sowie,such as
Professor,professor
darüber,about that
deren,whose
schaffen,create
damals,back then
erhalten,receive
lernen,to learn
frei,free
Wert,value
beziehungsweise,or
daran,to it
suchen,Looking for
Europa,Europe
gemeinsam,together
rund,around
Zahl,Number
Thema,theme
handeln,act
Buch,A book
bisschen,a little
deutlich,clear
anders,different
politisch,politically
lesen,read
Blick,View
Form,shape
einzeln,individually
erreichen,reach
vergehen,pass
leicht,easy
je,ever
verlieren,to lose
beste,best
bilden,form
Monat,Month
Lösung,solution
Sache,Matter
bekannt,known
Ziel,target
steigen,climb
eher,rather
essen,meal
Minute,minute
Nacht,Night
Platz,place
schlecht,bad
Spiel,Game
Familie,family
jemand,someone
dessen,whose
fallen,fall
zehn,ten
Preis,Price
europäisch,European
sonst,otherwise
Staat,Country
helfen,help
Bereich,area
tatsächlich,indeed
Ort,location
Abend,evening
einzig,only
Stelle,Job
unterschiedlich,differing
Gesicht,face
Entwicklung,development
Uhr,watch
mehrere,several
schließen,shut down
schließlich,after all
legen,lay
direkt,direct
daher,hence
offen,open
erkennen,recognize
Person,person
Moment,moment
Schule,school
darin,in this
Auto,automobile
niemand,nobody
Gesellschaft,company
warten,waiting
vorstellen,introduce
früh,early
treten,to step
reden,talk
Gruppe,group
Ding,thing
na,n / A
gewinnen,to win
zunächst,first
damit,in order to
Schritt,Step
entwickeln,develop
meiste,most
Möglichkeit,possibility
Sinn,sense
passieren,happen
manchmal,sometimes
Vergleich,comparison
System,system
Rolle,role
Ergebnis,result
vergleichen,to compare
voll,full
erwarten,expect
obwohl,although
Straße,Street
Angst,fear
allgemein,general
fühlen,feel
jene,those
erinnern,recall
oh,Oh
bedeuten,mean
Stimme,Voice
Reaktion,reaction
wirken,Act
darstellen,represent
Raum,Space
Eltern,parents
bezeichnen,describe
Funktion,function
häufig,frequently
erscheinen,appear
Vereinigte Staaten von Amerika,United States of America
Flüchtling,refugee
früher,previously
pro,Per
ergeben,result
entscheiden,decide
Universität,university
betreffen,affect
oben,above
Richtung,Direction
bestimmen,determine
fehlen,absence
Sprache,language
Produkt,product
Situation,situation
außerdem,in addition to that
nämlich,namely
international,international
Anfang,beginning
sechs,six
nutzen,to use
sozial,social
Folge,Consequence
Satz,Sentence
manche,some
Verbindung,connection
beschreiben,describe
Licht,light
ähnlich,similar
Regel,Rule
gegenüber,opposite to
Kollege,colleague
bisher,so far
tief,deep
halb,half
lachen,laugh
ebenfalls,Likewise
sofort,instantly
Grenze,Border
ändern,change
Entscheidung,decision
verlassen,leaving
Idee,idea
verbinden,associate
Milliarde,billion
endlich,at last
Energie,energy
plötzlich,suddenly
danach,thereafter
Kraft,power
lieber,rather
gehören,belong
einsetzen,deploy
Gefühl,feeling
trotzdem,Nevertheless
befinden,condition
Information,information
dadurch,thereby
dagegen,against it
Weise,Way
Zukunft,future
wachsen,to grow
bitte,You're welcome
weiß,White
Text,text
schwarz,black
sterben,die
Markt,market
halt,stop
nahe,vicinity
Hilfe,Help
Kapitel,Chapter
ausgehen,go out
Bedeutung,meaning
betrachten,regard
Chemie,Chemistry
Luft,Air
Körper,Body
Struktur,structure
stimmen,voices
bitten,request
Jahrhundert,century
wahrscheinlich,probably
öffentlich,publicly
euch,you
insgesamt,all in all
anfangen,begin
genug,enough
Deutsche,German
verändern,change
Wohnung,apartment
gelingen,succeed
bald,soon
gering,small amount
Film,Movie
kaufen,to buy
ansehen,look at
öffnen,to open
schauen,watch
Stück,piece
besondere,special
tot,dead
Gott,God
völlig,fully
positiv,positive
Gespräch,conversation
darum,therefore
Kunde,customer
Menge,Crowd
Regierung,government
Antwort,answer
annehmen,accept
falsch,not correct
Zusammenhang,connection
langsam,slow
Arm,poor
nachdem,after this
Tisch,table
rufen,call
bieten,Offer
Herz,heart
zusammen,together
inzwischen,in the meantime
ebenso,as well
Boden,floor
bevor,before
verwenden,use
Politik,politics
Tod,Death
Erfolg,success
zudem,in addition
Bank,Bank
ab,away
persönlich,personally
Präsident,president
holen,to fetch
sogenannt,so -called
Polizei,police
Chance,chance
gewiss,certainly
innerhalb,inside
Kunst,art
Lage,location
Schüler,pupils
gesamt,total
Druck,Print
verschwinden,disappear
wohnen,reside
bewegen,move
enthalten,contain
aufnehmen,"record, tape"
Kosten,Costs
Wintersemester,Winter semester
merken,notice
fest,Celebration
aktuell,currently
Begriff,expression
erleben,experience
relativ,relative
laut,noisy
Fuß,Foot
Daten,Data
Krieg,War
Gast,Guest
Aussage,expression
Gesetz,Law
planen,to plan
schwierig,difficult
Gut,Good
Kilometer,kilometre
zusätzlich,additionally
vergessen,forget
Gedanke,Thought
besitzen,own
ach,Oh
Partei,Political party
freuen,be happy
hängen,hang
berichten,to report
eng,closely
Kultur,Culture
Prozess,process
Sohn,Son
Dank,Thanks to
trotz,in spite of
fordern,support financially
gefallen,favor
Mädchen,girl
verhalten,behave
mindestens,at least
ziemlich,quite
Interesse,interest
unterscheiden,differentiate
wobei,whereby
jeweils,respectively
reichen,pass
sieben,seven
zumindest,at least
schlagen,hit
Tier,animal
jedenfalls,in any case
am,at the
erhöhen,raise
sorgen,worries
Erfahrung,experience
Patient,patient
Morgen,morning
Arzt,physician
geschehen,happen
Bayern,Bavaria
lösen,solve
irgendwie,somehow
anbieten,to offer
vorkommen,happen
okay,OK
wünschen,to wish
interessieren,interest
Unterschied,difference
Foto,photo
trinken,drink
derselbe,the same
wählen,Select
gleichzeitig,simultaneously
knapp,meager
Mitarbeiter,Employee
übernehmen,take over
Glück,happiness                                                                                           
normal,normal
leider,unfortunately
Grundlage,basis
acht,eight
Leistung,perfomance
vorliegen,exist
erfolgen,take place
Beziehung,relationship
zunehmen,gain weight
Molekül,molecule
stattfinden,occur
ankommen,arrive
auftreten,appear
insbesondere,especially
technisch,technically
wann,when
los,Come on
Bett,bed
Höhe,Height
wesentlich,significant
englisch,English
zuletzt,last
rein,pure
Zimmer,Room
indem,in which
bauen,to build
Verhältnis,relationship
selten,Rare
Zeitung,newspaper
innere,inner
beispielsweise,for example
Bedingung,Condition
Fenster,window
Zug,train
derzeit,currently
funktionieren,function
sowohl,either
schlafen,sleep
statt,instead of
Werk,plant
grün,green
Bürger,Citizens
dienen,to serve
echt,real
Firma,company
Wirtschaft,Business
stecken,put
hoffen,to hope
erfahren,Experienced
Mittel,Middle
Folie,foil
leisten,Afford
Tochter,daughter
Lehrer,teacher
passen,fit
beobachten,watch
Einführung,introduction
Element,element
klingen,sound
lieben,love
Dame,lady
Vorlesung,lecture
zählen,counting
meist,most of time
dunkel,dark
Österreich,Austria
Modell,model
Bewegung,movement
unten,below
Mitte,center
hin,there
aufgrund,because of
beschäftigen,occupy
zuvor,before
miteinander,commonality
dennoch,nonetheless
werfen,throw
Angebot,offer
Projekt,Project
verkaufen,to sell
reagieren,react
Autor,author
kriegen,get
zirka,about
Europäische Union,European Union
Größe,size
hart,hard
offenbar,apparently
Bruder,Brothers
beteiligen,participate
Phase,phase
angeben,specify
Reise,Trip
erfolgreich,successful
Zustand,Condition
wahr,true
Reihe,Row
Natur,Nature
rechnen,calculate
bloß,just
notwendig,necessary
entdecken,discover
dauern,last
wirtschaftlich,economically
privat,Private
modern,modern
Haar,hair
deswegen,because of this
spüren,sense
unabhängig,independently
morgen,morning
Rahmen,frame
übrigens,by the way
Einheit,Unit
überall,all over
feststellen,determine
Stoff,material
Rede,speech
unterstützen,support
chemisch,chemical
schlimm,terrible
Schweiz,Switzerland
irgendwann,Sometime
Geschäft,business
weder,neither
Anteil,Portion
Angabe,specification
Team,team
außer,except
Sommer,Summer
Hotel,hotel
laut,noisy
eins,one
Alter,age
Sicherheit,security
Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
niedrig,low
ständig,constant
Einsatz,mission
liefern,deliver
betonen,emphasize
Erde,Earth
Studie,study
vorne,in front
rechte,right
Meinung,opinion
drehen,turn
Künstler,Artist
aktiv,active
Versuch,Attempt
somit,Consequently
bezahlen,pay
Eigenschaft,Characteristic
längst,a long time ago
Methode,method
Ordnung,Order
Russland,Russia
Wahl,choice
daraus,from this
erfüllen,fulfill
Mama,mummy
Region,region
Sonntag,Sunday
Internet,Internet
Nummer,number
lächeln,smile
genauso,just like that
überzeugen,convince
interessant,Interesting
menschlich,human
Elektron,electron
Frankreich,France
Freiheit,freedom
speziell,special
französisch,French
negativ,negative
Ebene,level
besuchen,to visit
gestern,yesterday
Spieler,player
absolut,absolutely
fliegen,to fly
Hund,dog
antworten,reply
weiterhin,Farther
Wand,Wall
rechts,to the right
konkret,concrete
russisch,Russian
zahlen,to count
zugleich,simultaneously
Feld,Field
verdienen,earn
amerikanisch,American
Sekunde,second
Brief,letter
Mitglied,Member
praktisch,practically
Gefahr,Danger
binden,tie
weltweit,worldwide
Liebe,love
Beginn,Beginnings
China,China
breit,wide
draußen,outside
Wirkung,Effect
Bildung,training
Blut,blood
Meer,sea
Anzahl,number
Veränderung,change
durchaus,quite
Mund,mouth
berechnen,to calculate
betragen,be
fremd,foreign
Untersuchung,investigation
Fehler,mistake
mittlerweile,in the meantime
aufbauen,build up
Sonne,Sun
Prinzip,principle
vorher,before
Kampf,Battle
Verfügung,disposal
feiern,to celebrate
linke,left
Einfluss,influence
Temperatur,temperature
leer,empty
mitteilen,communicate
Verfahren,procedure
danke,thanks
beziehen,relate
verlangen,to demand
zuerst,first
Analyse,analysis
klassisch,classic
ehemalig,former
Bein,leg
Glas,Glass
untersuchen,investigate
kalt,cold
Sorge,Worries
Himmel,heaven
künftig,future
national,national
Kirche,Church
links,Left
Christlich Demokratische Union,Christian Democratic Union
bislang,so far
messen,measure up
lieb,dear
unbedingt,Absolutely
Verein,association
Atom,atom
historisch,historical
sinken,sink
kosten,costs
Vorstellung,performance
entscheidend,decisive
teilen,share
Typ,Type
stammen,come
wissenschaftlich,scientific
wieso,how come
Faktor,factor
Bindung,binding
Literatur,literature
überraschen,to surprise
bestätigen,confirm
bewusst,deliberately
Abschnitt,section
Nähe,vicinity
zahlreich,numerous
medizinisch,medical
übrig,left over
Türkei,Turkey
Produktion,production
drücken,to press
drohen,threaten
Linie,line
Gas,gas
schicken,send
Hälfte,half
Kontakt,Contact
egal,no matter
reisen,to travel
Berg,Mountain
irgendwo,somewhere
trennen,separate
benötigen,require
Erinnerung,memory
verhindern,impede
Sicht,view
Dollar,dollar
leiden,Suffer
Anspruch,claim
Position,position
Sport,Sports
Bürgerliches Gesetzbuch,Civil Code
Nachfrage,demand
blau,blue
anschauen,look at
teuer,expensive
Medien,media
richten,judge
Institut,Institute
Plan,plan
immerhin,after all
Tor,Goal
Betrieb,operation
komplex,complex
Dorf,village
eignen,be suitable
Klasse,class
eingehen,enter into
erlauben,to allow
treiben,to drive
weg,away
aufstehen,stand up
Absatz,Unit volume
unterwegs,on road
Vertrag,contract
Ausdruck,Expression
geraten,devices
toll,Great
schweigen,remain silent
Schwester,sister
Chef,boss
greifen,to grab
Risiko,risk
schwach,weak
ermöglichen,enable
Freitag,Friday
Hinweis,a notice
Vorteil,advantage
Protein,protein
Gewinn,Profit
grundsätzlich,basically
März,March
wiederholen,to repeat
Ruhe,Quiet
Darstellung,Depiction
ruhig,calm
Traum,Dream
behandeln,treat
stets,always
aufhören,stop
schützen,protection
diskutieren,to discuss
Ferse,heel
Sprecher,speaker
produzieren,to produce
Kritik,criticism
